Age,CityTier,DurationOfPitch,Occupation,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken
41,3,6,2,3,1,3,2,1,2,2,20993,1
49,1,14,2,4,1,4,0,0,3,2,20130,0
37,1,8,0,4,0,3,2,1,3,1,17090,1
33,1,9,2,3,0,3,0,1,5,1,17909,0
38,1,8,3,3,0,4,0,0,5,1,18468,0
32,1,8,2,3,0,3,2,0,5,1,18068,0
59,1,9,3,2,0,5,0,1,2,1,17670,0
30,1,30,2,3,0,3,1,0,2,1,17693,0
38,1,29,2,4,3,3,3,0,3,3,24526,0
36,1,33,3,3,1,3,0,0,3,2,20237,0
35,1,22,3,2,0,4,0,0,3,1,17426,0
38,1,21,2,4,1,3,2,1,3,2,,0
31,1,32,2,3,0,3,1,0,3,1,17911,0
34,1,25,3,3,0,3,1,0,3,1,17661,0
28,1,30,2,4,0,3,2,1,2,1,17028,1
29,1,27,2,2,3,5,1,0,5,3,24980,0
32,1,11,2,2,0,4,1,1,2,1,18298,0
22,1,22,3,2,0,3,1,1,3,1,17935,0
53,3,8,2,4,4,3,0,0,3,0,30427,0
,1,8,2,3,0,3,2,1,4,1,,0
,1,17,2,2,1,3,1,0,3,2,,0
,3,15,2,4,1,5,2,0,2,2,18407,1
34,1,13,2,3,3,4,3,0,3,3,26994,0
21,1,21,2,3,0,3,2,0,3,1,16232,0
34,1,12,3,3,0,5,2,0,2,1,17960,1
53,1,11,2,3,2,3,1,0,5,4,34094,0
,1,22,2,5,0,5,2,1,4,1,,1
42,3,14,3,3,1,4,0,0,3,2,21825,0
44,1,13,3,4,3,3,0,0,4,3,25248,0
46,3,8,3,3,2,5,2,0,2,4,33947,0
33,1,8,3,3,0,3,2,0,3,1,17496,0
44,1,16,2,3,1,3,0,1,3,2,21465,0
30,1,15,3,4,0,3,2,0,4,1,17206,0
39,3,11,1,3,1,3,0,0,2,2,17086,1
24,1,6,3,3,0,3,0,1,3,1,17293,1
43,1,8,3,2,0,3,1,0,2,1,17645,0
50,3,9,3,4,0,3,0,1,4,1,17683,1
35,3,8,3,3,0,3,0,0,2,1,17014,0
36,1,11,2,4,0,,0,1,2,1,95000,0
33,3,6,2,2,1,5,0,0,3,2,20376,0
35,1,10,2,3,0,3,1,0,4,1,16951,0
27,1,8,2,3,0,5,1,0,3,1,17341,0
26,1,31,2,5,0,3,2,0,2,1,17293,1
