 Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
1,41,Self Enquiry,3,6,Salaried,Female,3,3,Deluxe,3,Single,1,1,2,1,0,Manager,20993,1
2,49,Company Invited,1,14,Salaried,Male,3,4,Deluxe,4,Divorced,2,0,3,1,2,Manager,20130,0
3,37,Self Enquiry,1,8,Free Lancer,Male,3,4,Basic,3,Single,7,1,3,0,0,Executive,17090,1
4,33,Company Invited,1,9,Salaried,Female,2,3,Basic,3,Divorced,2,1,5,1,1,Executive,17909,0
5,,Self Enquiry,1,8,Small Business,Male,2,3,Basic,4,Divorced,1,0,5,1,0,Executive,18468,0
6,32,Company Invited,1,8,Salaried,Male,3,3,Basic,3,Single,1,0,5,1,1,Executive,18068,0
7,59,Self Enquiry,1,9,Small Business,Female,2,2,Basic,5,Divorced,5,1,2,1,1,Executive,17670,0
8,30,Self Enquiry,1,30,Salaried,Male,3,3,Basic,3,Married,2,0,2,0,1,Executive,17693,0
9,38,Company Invited,1,29,Salaried,Male,2,4,Standard,3,Unmarried,1,0,3,0,0,Senior Manager,24526,0
10,36,Self Enquiry,1,33,Small Business,Male,3,3,Deluxe,3,Divorced,7,0,3,1,0,Manager,20237,0
11,35,Self Enquiry,1,22,Small Business,Male,2,2,Basic,4,Divorced,1,0,3,1,1,Executive,17426,0
12,,Self Enquiry,1,21,Salaried,Female,2,4,Deluxe,3,Single,1,1,3,0,0,Manager,,0
13,31,Self Enquiry,1,32,Salaried,Male,2,3,Basic,3,Married,2,0,3,0,1,Executive,17911,0
14,34,Self Enquiry,1,25,Small Business,Male,3,3,Basic,3,Married,1,0,3,0,2,Executive,17661,0
15,28,Self Enquiry,1,30,Salaried,Male,2,4,Basic,3,Single,6,1,2,0,0,Executive,17028,1
16,29,Self Enquiry,1,27,Salaried,Female,2,2,Standard,5,Married,2,0,5,1,1,Senior Manager,24980,0
17,32,Self Enquiry,1,11,Salaried,Male,3,2,Basic,4,Married,1,1,2,1,0,Executive,18298,0
18,22,Company Invited,1,22,Small Business,Male,3,2,Basic,3,Married,2,1,3,0,0,Executive,17935,0
19,53,Self Enquiry,3,8,Salaried,Female,3,4,Super Deluxe,3,Divorced,3,0,3,1,0,AVP,30427,0
20,,Self Enquiry,1,8,Salaried,Male,2,3,Basic,3,Single,6,1,4,0,1,Executive,,0
21,,Company Invited,1,17,Salaried,Female,3,2,Deluxe,3,Married,1,0,3,1,2,Manager,,0
22,,Self Enquiry,3,15,Salaried,Male,2,4,Deluxe,5,Single,1,0,2,0,0,Manager,18407,1
23,34,Self Enquiry,1,13,Salaried,Fe Male,2,3,Standard,4,Unmarried,1,0,3,1,0,Senior Manager,26994,0
24,21,Self Enquiry,1,21,Salaried,Male,3,3,Basic,3,Single,2,0,3,1,1,Executive,16232,0
25,34,Self Enquiry,1,12,Small Business,Male,2,3,Basic,5,Single,3,0,2,1,1,Executive,17960,1
26,53,Self Enquiry,1,11,Salaried,Female,2,3,King,3,Married,5,0,5,0,1,VP,34094,0
27,,Company Invited,1,22,Salaried,Female,3,5,Basic,5,Single,2,1,4,1,2,Executive,,1
28,42,Self Enquiry,3,14,Small Business,Male,2,3,Deluxe,4,Divorced,1,0,3,0,1,Manager,21825,0
29,44,Self Enquiry,1,13,Small Business,Female,2,4,Standard,3,Divorced,4,0,4,1,0,Senior Manager,25248,0
30,46,Self Enquiry,3,8,Small Business,Female,2,3,King,5,Single,4,0,2,0,1,VP,33947,0
31,33,Self Enquiry,1,8,Small Business,Male,3,3,Basic,3,Single,5,0,3,1,2,Executive,17496,0
32,44,Self Enquiry,1,16,Salaried,Male,2,3,Deluxe,3,Divorced,3,1,3,1,1,Manager,21465,0
33,30,Self Enquiry,1,15,Small Business,Male,2,4,Basic,3,Single,2,0,4,1,1,Executive,17206,0
34,39,Self Enquiry,3,11,Large Business,Male,2,3,Deluxe,3,Divorced,4,0,2,0,1,Manager,17086,1
35,24,Self Enquiry,1,6,Small Business,Male,3,3,Basic,3,Divorced,3,1,3,1,2,Executive,17293,1
36,43,Self Enquiry,1,8,Small Business,Female,3,2,Basic,3,Married,2,0,2,0,1,Executive,17645,0
37,50,Self Enquiry,3,9,Small Business,Male,2,4,Basic,3,Divorced,2,1,4,0,0,Executive,17683,1
38,35,Self Enquiry,3,8,Small Business,Female,3,3,Basic,3,Divorced,2,0,2,1,0,Executive,17014,0
39,36,Self Enquiry,1,11,Salaried,Female,2,4,Basic,,Divorced,1,1,2,1,0,Executive,95000,0
40,33,Company Invited,3,6,Salaried,Female,2,2,Deluxe,5,Divorced,3,0,3,1,0,Manager,20376,0
