CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
200000,41,Self Enquiry,3,6,Salaried,Female,3,3,Deluxe,3,Single,1,1,2,1,0,Manager,20993,1
200001,49,Company Invited,1,14,Salaried,Male,3,4,Deluxe,4,Divorced,2,0,3,1,2,Manager,20130,0
200002,37,Self Enquiry,1,8,Free Lancer,Male,3,4,Basic,3,Single,7,1,3,0,0,Executive,17090,1
200003,33,Company Invited,1,9,Salaried,Female,2,3,Basic,3,Divorced,2,1,5,1,1,Executive,17909,0
200004,,Self Enquiry,1,8,Small Business,Male,2,3,Basic,4,Divorced,1,0,5,1,0,Executive,18468,0
200005,32,Company Invited,1,8,Salaried,Male,3,3,Basic,3,Single,1,0,5,1,1,Executive,18068,0
200006,59,Self Enquiry,1,9,Small Business,Female,2,2,Basic,5,Divorced,5,1,2,1,1,Executive,17670,0
200007,30,Self Enquiry,1,30,Salaried,Male,3,3,Basic,3,Married,2,0,2,0,1,Executive,17693,0
200008,38,Company Invited,1,29,Salaried,Male,2,4,Standard,3,Unmarried,1,0,3,0,0,Senior Manager,24526,0
200009,36,Self Enquiry,1,33,Small Business,Male,3,3,Deluxe,3,Divorced,7,0,3,1,0,Manager,20237,0
200010,35,Self Enquiry,1,22,Small Business,Male,2,2,Basic,4,Divorced,1,0,3,1,1,Executive,17426,0
200011,,Self Enquiry,1,21,Salaried,Female,2,4,Deluxe,3,Single,1,1,3,0,0,Manager,,0
200012,31,Self Enquiry,1,32,Salaried,Male,2,3,Basic,3,Married,2,0,3,0,1,Executive,17911,0
200013,34,Self Enquiry,1,25,Small Business,Male,3,3,Basic,3,Married,1,0,3,0,2,Executive,17661,0
200014,28,Self Enquiry,1,30,Salaried,Male,2,4,Basic,3,Single,6,1,2,0,0,Executive,17028,1
200015,29,Self Enquiry,1,27,Salaried,Female,2,2,Standard,5,Married,2,0,5,1,1,Senior Manager,24980,0
200016,32,Self Enquiry,1,11,Salaried,Male,3,2,Basic,4,Married,1,1,2,1,0,Executive,18298,0
200017,22,Company Invited,1,22,Small Business,Male,3,2,Basic,3,Married,2,1,3,0,0,Executive,17935,0
200018,53,Self Enquiry,3,8,Salaried,Female,3,4,Super Deluxe,3,Divorced,3,0,3,1,0,AVP,30427,0
200019,,Self Enquiry,1,8,Salaried,Male,2,3,Basic,3,Single,6,1,4,0,1,Executive,,0
200020,,Company Invited,1,17,Salaried,Female,3,2,Deluxe,3,Married,1,0,3,1,2,Manager,,0
200021,,Self Enquiry,3,15,Salaried,Male,2,4,Deluxe,5,Single,1,0,2,0,0,Manager,18407,1
200022,34,Self Enquiry,1,13,Salaried,Fe Male,2,3,Standard,4,Unmarried,1,0,3,1,0,Senior Manager,26994,0
200023,21,Self Enquiry,1,21,Salaried,Male,3,3,Basic,3,Single,2,0,3,1,1,Executive,16232,0
200024,34,Self Enquiry,1,12,Small Business,Male,2,3,Basic,5,Single,3,0,2,1,1,Executive,17960,1
200025,53,Self Enquiry,1,11,Salaried,Female,2,3,King,3,Married,5,0,5,0,1,VP,34094,0
200026,,Company Invited,1,22,Salaried,Female,3,5,Basic,5,Single,2,1,4,1,2,Executive,,1
200027,42,Self Enquiry,3,14,Small Business,Male,2,3,Deluxe,4,Divorced,1,0,3,0,1,Manager,21825,0
200028,44,Self Enquiry,1,13,Small Business,Female,2,4,Standard,3,Divorced,4,0,4,1,0,Senior Manager,25248,0
200029,46,Self Enquiry,3,8,Small Business,Female,2,3,King,5,Single,4,0,2,0,1,VP,33947,0
200030,33,Self Enquiry,1,8,Small Business,Male,3,3,Basic,3,Single,5,0,3,1,2,Executive,17496,0
200031,44,Self Enquiry,1,16,Salaried,Male,2,3,Deluxe,3,Divorced,3,1,3,1,1,Manager,21465,0
200032,30,Self Enquiry,1,15,Small Business,Male,2,4,Basic,3,Single,2,0,4,1,1,Executive,17206,0
200033,39,Self Enquiry,3,11,Large Business,Male,2,3,Deluxe,3,Divorced,4,0,2,0,1,Manager,17086,1
200034,24,Self Enquiry,1,6,Small Business,Male,3,3,Basic,3,Divorced,3,1,3,1,2,Executive,17293,1
200035,43,Self Enquiry,1,8,Small Business,Female,3,2,Basic,3,Married,2,0,2,0,1,Executive,17645,0
200036,50,Self Enquiry,3,9,Small Business,Male,2,4,Basic,3,Divorced,2,1,4,0,0,Executive,17683,1
200037,35,Self Enquiry,3,8,Small Business,Female,3,3,Basic,3,Divorced,2,0,2,1,0,Executive,17014,0
200038,36,Self Enquiry,1,11,Salaried,Female,2,4,Basic,,Divorced,1,1,2,1,0,Executive,95000,0
200039,33,Company Invited,3,6,Salaried,Female,2,2,Deluxe,5,Divorced,3,0,3,1,0,Manager,20376,0
200040,35,Self Enquiry,1,10,Salaried,Male,3,3,Basic,3,Married,2,0,4,0,0,Executive,16951,0
200041,27,Self Enquiry,1,8,Salaried,Female,2,3,Basic,5,Married,2,0,3,0,1,Executive,17341,0
200042,26,Self Enquiry,1,31,Salaried,Male,2,5,Basic,3,Single,2,0,2,1,1,Executive,17293,1
200043,27,Company Invited,3,14,Salaried,Male,2,3,Standard,3,Unmarried,2,0,2,1,0,Senior Manager,23726,0
200044,,Company Invited,1,6,Small Business,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,,0
200045,41,Self Enquiry,1,18,Large Business,Female,2,3,King,3,Divorced,2,0,4,1,0,VP,34545,1
200046,34,Company Invited,3,,Small Business,Male,3,3,Deluxe,3,Single,1,0,5,1,1,Manager,19568,0
200047,37,Self Enquiry,1,25,Salaried,Male,3,3,Basic,4,Divorced,5,0,4,1,1,Executive,18022,0
200048,46,Company Invited,3,11,Small Business,Male,3,3,Deluxe,3,Single,5,1,5,1,1,Manager,20772,0
200049,35,Self Enquiry,1,14,Salaried,Male,2,2,Basic,3,Divorced,2,0,5,1,1,Executive,17269,0
200050,48,Self Enquiry,1,6,Salaried,Male,3,4,Standard,3,Single,1,1,5,0,2,Senior Manager,20381,1
200051,,Self Enquiry,1,11,Large Business,Male,2,3,Basic,3,Single,2,1,2,1,0,Executive,18441,1
200052,44,Self Enquiry,3,6,Small Business,Female,3,3,Deluxe,5,Married,6,1,2,0,0,Manager,20454,0
200053,35,Company Invited,1,17,Small Business,Male,3,4,Standard,5,Divorced,3,1,5,1,1,Senior Manager,24884,0
200054,,Self Enquiry,3,29,Small Business,Female,2,4,Deluxe,3,Divorced,1,1,2,1,0,Manager,,0
200055,33,Company Invited,1,6,Salaried,Fe Male,3,3,Standard,3,Unmarried,2,1,2,1,0,Senior Manager,28458,0
200056,35,Company Invited,3,24,Salaried,Male,3,3,Standard,5,Divorced,2,0,4,1,0,Senior Manager,24069,0
200057,,Self Enquiry,1,29,Small Business,Female,1,3,Basic,5,Divorced,4,1,4,1,0,Executive,,0
200058,31,Self Enquiry,1,13,Salaried,Male,2,3,Deluxe,3,Married,4,0,3,1,0,Manager,20915,0
200059,37,Self Enquiry,1,6,Salaried,Male,2,4,Deluxe,3,Married,2,0,5,1,1,Manager,20993,0
200060,32,Self Enquiry,1,6,Small Business,Male,2,3,Deluxe,3,Divorced,2,1,4,1,0,Manager,21162,0
200061,38,Company Invited,1,35,Salaried,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,17406,0
200062,50,Self Enquiry,1,13,Small Business,Female,2,4,King,3,Married,6,1,4,1,1,VP,33740,0
200063,59,Self Enquiry,3,31,Salaried,Female,2,3,Standard,5,Unmarried,1,0,3,1,0,Senior Manager,22637,0
200064,36,Self Enquiry,1,14,Large Business,Female,2,3,Standard,3,Married,2,0,4,1,1,Senior Manager,25096,0
200065,55,Self Enquiry,1,14,Small Business,Female,2,3,Super Deluxe,3,Married,3,1,3,0,1,AVP,29756,0
200066,36,Company Invited,1,17,Salaried,Male,3,4,Deluxe,4,Unmarried,2,0,4,1,1,Manager,21499,0
200067,45,Self Enquiry,1,13,Salaried,Male,2,3,Standard,5,Married,3,0,3,1,1,Senior Manager,24724,0
200068,35,Company Invited,1,6,Small Business,Male,3,3,Basic,5,Divorced,5,0,2,0,1,Executive,17194,0
200069,,Self Enquiry,1,15,Small Business,Male,3,4,Basic,3,Divorced,1,1,2,0,1,Executive,18388,1
200070,59,Company Invited,3,6,Salaried,Female,2,4,Deluxe,3,Single,1,0,5,1,1,Manager,20473,0
200071,29,Self Enquiry,1,8,Salaried,Male,3,3,Basic,4,Divorced,1,0,4,0,0,Executive,17703,0
200072,31,Self Enquiry,1,6,Small Business,Male,2,3,Basic,4,Single,2,0,3,0,0,Executive,17501,0
200073,32,Self Enquiry,1,6,Salaried,Male,3,3,Deluxe,4,Divorced,2,0,3,0,0,Manager,21220,0
200074,36,Self Enquiry,1,12,Salaried,Female,2,2,Deluxe,3,Divorced,4,0,2,0,0,Manager,18038,0
200075,31,Self Enquiry,1,,Salaried,Female,3,3,Deluxe,3,Single,2,0,5,0,1,Manager,,0
200076,35,Self Enquiry,3,,Small Business,Male,2,4,Deluxe,5,Single,1,0,2,0,1,Manager,,0
200077,45,Self Enquiry,1,12,Salaried,Male,2,3,Standard,5,Divorced,5,1,3,0,0,Senior Manager,28245,0
200078,37,Self Enquiry,1,13,Small Business,Male,1,3,Standard,3,Single,5,0,2,0,0,Senior Manager,28664,0
200079,46,Self Enquiry,2,11,Small Business,Male,3,,Deluxe,4,Married,1,1,5,0,1,Manager,20021,0
200080,30,Self Enquiry,1,6,Salaried,Male,2,4,Deluxe,3,Divorced,2,1,2,1,1,Manager,20126,0
200081,35,Self Enquiry,1,6,Small Business,Male,1,4,Basic,3,Single,2,0,4,1,0,Executive,17859,0
200082,55,Self Enquiry,3,6,Salaried,Male,3,3,Standard,3,Divorced,4,0,2,0,1,Senior Manager,25239,0
200083,38,Company Invited,1,12,Small Business,Female,3,5,Deluxe,3,Married,1,1,2,0,2,Manager,20329,0
200084,34,Self Enquiry,1,,Small Business,Male,3,3,Deluxe,4,Divorced,2,0,5,0,0,Manager,,0
200085,56,Self Enquiry,1,13,Salaried,Male,2,5,Standard,3,Unmarried,5,0,2,0,0,Senior Manager,22260,0
200086,23,Self Enquiry,3,8,Large Business,Male,3,3,Basic,5,Married,4,0,3,1,1,Executive,17322,0
200087,51,Self Enquiry,1,15,Salaried,Male,3,3,Basic,3,Divorced,4,0,3,1,0,Executive,17075,0
200088,,Self Enquiry,1,8,Salaried,Male,2,4,Deluxe,3,Divorced,2,0,4,1,0,Manager,,0
200089,46,Self Enquiry,3,15,Small Business,Male,3,4,Standard,3,Unmarried,2,0,5,0,1,Senior Manager,24619,1
200090,40,Company Invited,1,6,Salaried,Male,3,4,Super Deluxe,4,Divorced,2,0,2,1,2,AVP,28503,0
200091,51,Self Enquiry,3,27,Small Business,Male,3,3,Deluxe,3,Single,1,1,5,1,1,Manager,20441,0
200092,30,Self Enquiry,3,10,Small Business,Female,3,4,Deluxe,4,Married,2,1,3,1,1,Manager,20209,0
200093,46,Company Invited,1,6,Small Business,Male,2,4,Standard,5,Divorced,3,1,2,1,1,Senior Manager,25673,0
200094,32,Self Enquiry,3,12,Small Business,Male,2,,Deluxe,3,Single,2,0,5,1,0,Manager,20010,0
200095,54,Self Enquiry,1,8,Large Business,Female,2,3,Standard,3,Divorced,1,0,4,1,0,Senior Manager,28549,0
200096,24,Self Enquiry,3,9,Salaried,Female,2,,Deluxe,3,Divorced,1,0,4,1,0,Manager,19999,0
200097,,Company Invited,3,10,Small Business,Male,2,3,Deluxe,3,Divorced,2,0,2,1,0,Manager,,0
200098,58,Self Enquiry,3,16,Small Business,Male,2,3,Super Deluxe,3,Single,1,0,3,1,1,AVP,28872,0
200099,44,Company Invited,1,29,Small Business,Male,3,3,Deluxe,4,Divorced,5,0,3,1,0,Manager,17042,0
200100,37,Self Enquiry,2,12,Salaried,Male,3,3,Basic,5,Married,5,1,2,1,0,Executive,17073,1
200101,32,Self Enquiry,1,6,Salaried,Male,3,3,Basic,5,Single,2,0,2,0,2,Executive,17956,0
200102,20,Company Invited,1,12,Salaried,Female,3,4,Basic,3,Single,2,1,2,1,1,Executive,17926,1
200103,34,Self Enquiry,1,,Salaried,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,19809,0
200104,37,Company Invited,1,8,Salaried,Male,3,4,Deluxe,3,Married,6,0,2,0,1,Manager,20163,0
200105,59,Company Invited,2,8,Salaried,Female,2,4,King,3,Divorced,1,0,2,1,1,VP,33844,0
200106,50,Company Invited,1,6,Salaried,Female,3,3,King,4,Divorced,4,1,2,0,2,VP,33172,0
200107,25,Self Enquiry,3,11,Small Business,Male,2,4,Deluxe,3,Single,2,1,3,1,0,Manager,20744,1
200108,25,Self Enquiry,1,13,Small Business,Male,3,4,Basic,3,Divorced,2,0,2,1,2,Executive,17889,0
200109,22,Self Enquiry,1,21,Small Business,Female,2,3,Basic,3,Single,2,0,2,1,1,Executive,17871,0
200110,51,Company Invited,1,6,Small Business,Female,1,4,Standard,5,Unmarried,4,0,2,1,0,Senior Manager,22484,0
200111,34,Company Invited,1,13,Salaried,Male,3,5,Deluxe,3,Single,2,1,5,1,1,Manager,21074,1
200112,54,Company Invited,2,32,Salaried,Female,1,2,Super Deluxe,3,Single,3,1,3,1,0,AVP,32328,0
200113,24,Self Enquiry,1,24,Salaried,Male,2,3,Basic,3,Divorced,1,0,4,1,0,Executive,17774,0
200114,34,Self Enquiry,1,,Salaried,Female,2,4,Deluxe,4,Married,7,0,3,0,1,Manager,19505,0
200115,37,Self Enquiry,3,9,Salaried,Male,2,3,Standard,3,Unmarried,3,0,3,0,0,Senior Manager,22428,0
200116,34,Self Enquiry,1,11,Small Business,Fe Male,2,4,Standard,5,Unmarried,3,0,2,0,0,Senior Manager,26631,0
200117,36,Company Invited,3,17,Large Business,Female,3,3,Standard,3,Divorced,1,0,5,0,0,Senior Manager,24738,0
200118,36,Self Enquiry,1,9,Salaried,Female,2,3,Basic,3,Married,6,0,2,1,0,Executive,17835,0
200119,43,Company Invited,3,32,Salaried,Male,3,3,Super Deluxe,3,Divorced,2,1,2,0,0,AVP,31959,0
200120,30,Company Invited,1,29,Salaried,Male,3,5,Basic,3,Married,2,0,3,1,2,Executive,17613,0
200121,33,Company Invited,3,28,Small Business,Male,3,3,Deluxe,4,Divorced,1,0,2,0,1,Manager,21146,0
200122,56,Self Enquiry,1,20,Salaried,Female,3,,Basic,4,Divorced,1,1,5,1,1,Executive,19963,1
200123,51,Self Enquiry,1,12,Salaried,Male,2,3,King,3,Single,1,0,5,1,0,VP,34537,0
200124,31,Self Enquiry,3,12,Salaried,Male,3,5,Deluxe,3,Divorced,5,1,3,1,1,Manager,21172,1
200125,26,Self Enquiry,1,12,Salaried,Female,2,4,Basic,4,Divorced,2,0,3,1,0,Executive,17368,0
200126,58,Self Enquiry,1,29,Small Business,Female,3,3,Standard,3,Divorced,2,0,3,1,0,Senior Manager,25312,1
200127,19,Self Enquiry,3,28,Small Business,Male,2,3,Basic,3,Single,2,1,2,0,1,Executive,16675,1
200128,22,Self Enquiry,1,8,Large Business,Male,3,3,Basic,3,Divorced,1,0,5,1,2,Executive,17523,0
200129,49,Self Enquiry,1,26,Small Business,Female,3,3,Deluxe,5,Divorced,2,0,2,1,2,Manager,21567,0
200130,43,Company Invited,1,,Small Business,Female,3,2,Basic,3,Single,5,0,3,0,2,Executive,19739,0
200131,50,Company Invited,3,18,Small Business,Fe Male,3,3,Standard,3,Unmarried,5,0,5,0,0,Senior Manager,24208,0
200132,31,Self Enquiry,3,,Salaried,Female,3,5,Deluxe,3,Divorced,4,1,3,1,0,Manager,19559,1
200133,41,Self Enquiry,3,15,Salaried,Male,3,3,Standard,3,Married,4,1,2,0,1,Senior Manager,23189,0
200134,26,Self Enquiry,2,31,Salaried,Female,3,3,Basic,3,Divorced,2,0,4,1,0,Executive,17942,0
200135,36,Self Enquiry,1,12,Small Business,Male,2,,Deluxe,4,Married,7,0,4,1,1,Manager,19941,0
200136,51,Company Invited,1,14,Salaried,Male,2,5,Standard,3,Unmarried,3,0,2,0,1,Senior Manager,25650,1
200137,39,Self Enquiry,3,10,Salaried,Female,2,4,Deluxe,3,Divorced,5,0,5,1,0,Manager,20902,0
200138,25,Self Enquiry,3,34,Salaried,Male,2,4,Deluxe,3,Divorced,3,0,4,0,0,Manager,23639,0
200139,30,Self Enquiry,2,15,Salaried,Male,2,3,Deluxe,3,Divorced,1,1,3,1,1,Manager,21347,0
200140,,Self Enquiry,1,15,Small Business,Female,2,3,Basic,5,Single,1,0,4,1,1,Executive,,1
200141,,Self Enquiry,1,35,Small Business,Male,2,3,Basic,3,Single,6,0,2,1,0,Executive,18452,0
200142,38,Self Enquiry,1,9,Large Business,Female,2,3,Deluxe,3,Single,4,1,5,0,0,Manager,1000,0
200143,30,Self Enquiry,1,24,Salaried,Female,3,3,Basic,3,Single,2,0,2,1,0,Executive,17632,0
200144,32,Company Invited,3,,Small Business,Male,2,5,Deluxe,3,Married,1,0,2,0,1,Manager,19668,0
200145,30,Self Enquiry,1,11,Large Business,Female,2,3,Basic,5,Married,6,0,5,1,1,Executive,18204,0
