Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
41,1,3,6,2,1,3,3,1,3,2,1,1,2,1,0,2,20993,1
49,0,1,14,2,2,3,4,1,4,0,2,0,3,1,2,2,20130,0
37,1,1,8,0,2,3,4,0,3,2,7,1,3,0,0,1,17090,1
33,0,1,9,2,1,2,3,0,3,0,2,1,5,1,1,1,17909,0
37.62226512,1,1,8,3,2,2,3,0,4,0,1,0,5,1,0,1,18468,0
32,0,1,8,2,2,3,3,0,3,2,1,0,5,1,1,1,18068,0
59,1,1,9,3,1,2,2,0,5,0,5,1,2,1,1,1,17670,0
30,1,1,30,2,2,3,3,0,3,1,2,0,2,0,1,1,17693,0
38,0,1,29,2,2,2,4,3,3,3,1,0,3,0,0,3,24526,0
36,1,1,33,3,2,3,3,1,3,0,7,0,3,1,0,2,20237,0
35,1,1,22,3,2,2,2,0,4,0,1,0,3,1,1,1,17426,0
37.62226512,1,1,21,2,1,2,4,1,3,2,1,1,3,0,0,2,22347,0
31,1,1,32,2,2,2,3,0,3,1,2,0,3,0,1,1,17911,0
34,1,1,25,3,2,3,3,0,3,1,1,0,3,0,2,1,17661,0
28,1,1,30,2,2,2,4,0,3,2,6,1,2,0,0,1,17028,1
29,1,1,27,2,1,2,2,3,5,1,2,0,5,1,1,3,24980,0
32,1,1,11,2,2,3,2,0,4,1,1,1,2,1,0,1,18298,0
22,0,1,22,3,2,3,2,0,3,1,2,1,3,0,0,1,17935,0
53,1,3,8,2,1,3,4,4,3,0,3,0,3,1,0,0,30427,0
37.62226512,1,1,8,2,2,2,3,0,3,2,6,1,4,0,1,1,22347,0
37.62226512,0,1,17,2,1,3,2,1,3,1,1,0,3,1,2,2,22347,0
37.62226512,1,3,15,2,2,2,4,1,5,2,1,0,2,0,0,2,18407,1
34,1,1,13,2,0,2,3,3,4,3,1,0,3,1,0,3,26994,0
21,1,1,21,2,2,3,3,0,3,2,2,0,3,1,1,1,16232,0
34,1,1,12,3,2,2,3,0,5,2,3,0,2,1,1,1,17960,1
53,1,1,11,2,1,2,3,2,3,1,5,0,5,0,1,4,34094,0
37.62226512,0,1,22,2,1,3,5,0,5,2,2,1,4,1,2,1,22347,1
42,1,3,14,3,2,2,3,1,4,0,1,0,3,0,1,2,21825,0
44,1,1,13,3,1,2,4,3,3,0,4,0,4,1,0,3,25248,0
46,1,3,8,3,1,2,3,2,5,2,4,0,2,0,1,4,33947,0
33,1,1,8,3,2,3,3,0,3,2,5,0,3,1,2,1,17496,0
44,1,1,16,2,2,2,3,1,3,0,3,1,3,1,1,2,21465,0
30,1,1,15,3,2,2,4,0,3,2,2,0,4,1,1,1,17206,0
39,1,3,11,1,2,2,3,1,3,0,4,0,2,0,1,2,17086,1
24,1,1,6,3,2,3,3,0,3,0,3,1,3,1,2,1,17293,1
43,1,1,8,3,1,3,2,0,3,1,2,0,2,0,1,1,17645,0
